CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,pha
0.04803,0.008,12.04,12.04,27.1,23.0,1
0.04242,0.04242,8.61,8.61,26.2,34.0,0
0.02305,0.0212,10.71,10.7,24.7,68.0,0
0.01755,0.01754,14.27,14.26,20.4,490.0,1
0.04009,0.01849,13.26,13.25,27.2,22.0,0
0.01697,0.01697,8.03,8.01,19.9,610.0,1
0.00306,0.00306,1.66,1.01,28.3,13.0,1
0.04502,0.04502,9.12,9.12,22.4,200.0,0
0.00758,0.00753,5.46,5.4,25.6,45.0,1
0.01936,0.01921,17.41,17.41,20.3,520.0,1
0.02915,0.00614,4.51,4.49,28.5,12.0,1
0.03726,0.00126,16.92,16.92,28.2,13.0,1
0.00351,2e-05,6.7,6.58,29.7,6.8,1
0.02052,0.01406,18.43,18.42,23.1,140.0,0
0.02392,0.00056,14.26,14.25,22.5,190.0,1
0.02158,0.02028,8.48,8.47,24.5,75.0,0
0.04311,0.04293,13.6,13.6,25.4,49.0,0
0.04585,0.04585,16.69,16.69,21.6,290.0,1
0.00856,0.00455,7.57,7.52,24.5,74.0,1
0.03174,0.0317,12.31,12.3,22.4,190.0,0
0.02927,0.00156,17.67,17.67,23.8,100.0,1
0.02649,0.02242,4.3,4.27,25.1,57.0,0
0.04072,0.04035,13.57,13.57,25.3,52.0,0
0.02746,0.02365,16.46,16.46,21.1,360.0,1
0.03249,0.02715,8.54,8.53,27.6,18.0,0
0.03137,0.02425,11.97,11.97,20.5,470.0,1
0.04491,0.0438,11.31,11.31,24.4,78.0,0
0.02054,0.01462,9.9,9.88,26.1,36.0,0
0.03367,0.02381,11.2,11.19,26.1,36.0,0
0.04099,0.02471,7.67,7.66,28.9,9.8,0
0.0436,0.04037,8.9,8.89,23.9,99.0,0
0.00669,0.00668,9.27,9.22,22.9,160.0,1
0.03762,0.01722,14.6,14.59,27.5,19.0,0
0.03161,0.00569,7.86,7.85,24.3,82.0,1
0.0406,0.03972,2.83,2.81,25.1,57.0,0
0.03347,0.02144,7.42,7.41,27.7,17.0,0
0.04202,0.03588,7.37,7.36,27.5,19.0,0
0.04169,0.04169,14.92,14.91,20.7,430.0,1
0.03711,0.00612,11.61,11.6,26.4,31.0,1
0.04664,0.04619,5.36,5.35,21.9,250.0,1
0.04073,0.04073,0.88,0.8,28.3,13.0,0
0.02117,0.01829,9.83,9.81,25.7,42.0,0
0.03581,0.02817,13.05,13.04,25.5,47.0,0
0.03108,0.01079,11.53,11.52,26.7,27.0,0
0.03906,0.01956,11.74,11.74,24.5,75.0,0
0.03211,0.03211,9.78,9.77,21.1,360.0,1
0.02483,0.02459,3.53,3.5,27.8,17.0,0
0.03418,0.03353,7.05,7.04,27.1,23.0,0
0.02496,0.01144,7.89,7.88,27.4,20.0,0
0.01616,0.01612,7.02,7.0,25.0,59.0,0
0.03274,0.03257,4.11,4.09,26.2,34.0,0
0.03803,0.02595,7.7,7.69,27.4,20.0,0
0.03995,0.02672,13.73,13.73,24.5,75.0,0
0.03881,0.03871,4.0,3.98,27.7,17.0,0
0.04885,0.04799,8.44,8.44,23.9,99.0,0
0.04037,0.04037,11.57,11.57,21.8,260.0,1
0.04774,0.04477,17.1,17.1,25.2,54.0,0
0.0472,0.04693,8.42,8.42,23.1,140.0,0
0.02914,0.02912,12.35,12.34,23.0,150.0,0
0.01266,0.0048,5.88,5.84,26.5,29.0,1
0.03249,0.02962,6.94,6.93,26.1,36.0,0
0.04905,0.04905,18.88,18.88,19.4,790.0,1
0.02442,0.0244,14.63,14.62,22.2,220.0,0
0.04872,0.04871,23.97,23.97,20.1,560.0,1
0.02796,0.02796,12.77,12.76,22.4,200.0,0
0.01937,0.01268,13.93,13.92,25.0,59.0,0
0.00485,0.00452,4.98,4.87,23.7,110.0,1
0.00893,1e-05,5.35,5.29,24.9,61.0,1
0.01232,0.01222,6.55,6.52,25.2,55.0,0
0.02678,0.02671,34.89,34.89,19.0,940.0,1
0.01478,0.01475,8.31,8.29,19.8,650.0,1
0.02922,0.01289,11.3,11.3,26.6,28.0,0
0.01298,0.00444,14.98,14.96,24.6,73.0,1
0.02501,0.02211,10.99,10.98,27.1,23.0,0
0.04499,0.04452,4.87,4.85,25.8,42.0,0
0.01982,0.0115,6.51,6.49,25.4,49.0,0
0.02748,0.02748,7.33,7.32,20.8,410.0,1
0.04067,0.03454,14.21,14.21,22.4,200.0,0
0.03263,0.0013,6.27,6.26,28.0,15.0,1
0.03851,0.01918,12.05,12.05,25.8,41.0,0
0.00228,0.00219,4.41,4.14,29.4,7.8,1
0.01612,0.01609,7.3,7.28,24.9,62.0,0
0.03003,0.00439,11.18,11.17,28.3,13.0,1
0.02016,0.0154,4.69,4.67,27.4,20.0,0
0.03426,0.03389,9.43,9.43,26.4,31.0,0
0.01546,0.01522,8.99,8.97,25.4,49.0,0
0.02793,0.02657,7.38,7.36,26.7,27.0,0
0.01595,0.01368,14.57,14.56,25.7,43.0,0
0.01422,0.01385,10.62,10.6,26.1,36.0,0
0.01325,0.01325,20.33,20.32,20.4,490.0,1
0.02792,0.00407,8.0,7.98,27.7,17.0,1
0.03235,0.02439,5.96,5.94,24.7,68.0,0
0.03045,0.0242,14.89,14.88,26.4,31.0,0
0.0323,0.03224,5.71,5.69,26.3,33.0,0
0.04357,0.03326,15.63,15.63,21.4,310.0,1
0.03072,0.02329,7.51,7.5,25.9,39.0,0
0.03485,0.0336,5.58,5.56,23.6,110.0,0
0.02721,0.01157,8.23,8.21,26.2,34.0,0
0.02019,0.02019,22.83,22.83,19.7,680.0,1
0.0309,0.0309,15.88,15.87,24.1,90.0,0
0.03754,0.03703,4.32,4.31,26.2,34.0,0
0.04711,0.04637,2.23,2.2,28.9,9.9,0
0.0341,0.03394,6.67,6.66,26.4,31.0,0
0.04735,0.04717,3.72,3.7,27.5,19.0,0
0.04837,0.04837,24.84,24.84,19.1,890.0,1
0.02273,0.00968,9.62,9.6,24.6,71.0,1
0.04615,0.03966,6.92,6.91,24.2,86.0,0
0.02558,0.02545,11.8,11.79,25.9,39.0,0
0.02498,0.01036,12.19,12.18,27.4,20.0,0
0.01262,0.00131,8.52,8.5,25.6,46.0,1
0.03689,0.03689,3.52,3.5,22.3,200.0,0
0.02924,0.02791,2.23,2.19,29.0,9.4,0
0.03629,0.03629,12.66,12.65,24.0,94.0,0
0.02838,0.0216,9.27,9.26,25.7,43.0,0
0.04024,0.03177,8.83,8.82,28.0,15.0,0
0.01971,0.01971,8.81,8.79,26.3,33.0,0
0.00577,0.0054,9.39,9.34,27.1,23.0,1
0.00707,0.00706,4.58,4.5,26.0,38.0,1
0.001,0.00099,24.05,23.94,29.0,9.4,1
0.03722,0.03721,7.99,7.98,25.6,45.0,0
0.04047,0.04047,19.43,19.42,23.8,100.0,0
0.03889,0.03397,4.03,4.02,27.1,23.0,0
0.00538,0.00526,1.67,1.34,28.0,15.0,1
0.01337,0.01323,6.14,6.1,26.2,34.0,0
0.01465,0.0146,7.07,7.05,24.3,83.0,0
0.04475,0.04474,18.8,18.8,20.7,430.0,1
0.03396,0.02489,4.3,4.28,32.1,2.3,0
0.04875,0.02275,11.71,11.7,24.4,77.0,0
0.04385,0.04379,7.56,7.55,26.3,33.0,0
0.03318,0.02448,10.68,10.67,26.4,30.0,0
0.03704,0.03673,2.64,2.61,28.0,15.0,0
0.04818,0.00825,12.69,12.69,23.6,110.0,1
0.02531,0.02468,4.51,4.48,26.2,34.0,0
0.02734,0.00047,9.6,9.59,24.9,62.0,1
0.0496,0.02634,9.59,9.58,24.3,82.0,0
0.04017,0.03293,9.91,9.91,25.2,54.0,0
0.03357,0.01146,7.55,7.54,26.9,25.0,0
0.03156,0.03134,1.16,1.09,24.9,62.0,0
0.0461,0.0461,8.86,8.86,22.2,210.0,0
0.0491,0.04909,9.46,9.46,22.9,160.0,0
0.04537,0.0445,9.07,9.06,25.1,57.0,0
0.04249,0.04245,14.22,14.21,24.9,62.0,0
0.04771,0.04771,25.66,25.66,22.3,210.0,0
0.03648,0.03648,9.75,9.75,26.8,26.0,0
0.04264,0.02199,3.98,3.97,25.8,41.0,0
0.02773,0.02316,6.39,6.37,25.4,51.0,0
0.03147,0.03147,9.01,9.0,19.4,800.0,1
0.00777,0.00546,4.14,4.06,23.6,110.0,1
0.03306,0.00048,9.35,9.34,31.1,3.5,1
0.03948,0.02667,13.35,13.34,25.8,41.0,0
0.04538,0.04193,5.56,5.55,25.6,45.0,0
0.00666,0.00664,9.47,9.42,25.4,49.0,1
0.04903,0.00134,9.63,9.63,28.0,15.0,1
0.02336,0.02011,4.37,4.35,27.2,22.0,0
0.01579,0.01579,11.9,11.88,26.0,38.0,0
0.04231,0.03926,4.34,4.32,26.9,25.0,0
0.02425,0.0111,5.87,5.85,26.9,24.0,0
0.04196,0.04196,22.1,22.09,19.1,890.0,1
0.04669,0.046,3.66,3.64,25.3,52.0,0
0.01253,0.01155,1.23,1.04,28.3,13.0,0
0.0475,0.0475,29.23,29.22,19.3,830.0,1
0.0408,0.03003,9.16,9.16,27.6,18.0,0
0.04136,0.03932,8.48,8.47,27.0,24.0,0
0.03104,0.00055,10.0,9.99,30.6,4.5,1
0.0203,0.01183,5.23,5.21,27.4,20.0,0
0.04433,0.02951,14.47,14.47,24.1,89.0,0
0.02173,0.00949,7.28,7.27,27.7,17.0,1
0.04059,0.03381,4.76,4.75,26.2,34.0,0
0.00625,0.0026,6.75,6.69,26.3,33.0,1
0.04183,0.04181,3.04,3.02,26.1,36.0,0
0.03868,0.00196,19.17,19.16,27.7,17.0,1
0.04735,0.04182,4.45,4.43,24.7,68.0,0
0.0264,0.02531,3.13,3.09,29.5,7.5,0
0.04015,0.04014,9.05,9.04,21.5,300.0,1
0.03795,0.03787,5.54,5.53,26.6,28.0,0
0.00873,0.00183,6.9,6.86,26.9,25.0,1
0.02145,0.0211,6.32,6.3,24.5,75.0,0
0.04313,0.04313,15.89,15.89,21.0,370.0,1
0.01867,0.01834,2.07,2.0,25.8,41.0,0
0.01087,0.00726,8.08,8.05,25.2,54.0,1
0.03016,0.0193,14.98,14.98,23.3,130.0,0
0.03727,0.03724,11.51,11.51,21.0,380.0,1
0.04862,0.01953,4.86,4.85,26.8,26.0,0
0.04012,0.03984,7.43,7.42,28.1,14.0,0
0.0174,0.01725,3.45,3.41,25.8,42.0,0
0.00408,0.0028,10.91,10.85,23.9,99.0,1
0.03003,0.02982,5.36,5.34,25.9,39.0,0
0.04311,0.04265,9.23,9.22,25.2,54.0,0
0.00113,0.00113,18.66,18.54,28.5,12.0,1
0.04071,0.04071,15.92,15.91,21.9,250.0,1
0.01632,0.01609,12.58,12.56,22.5,190.0,0
0.0409,0.0409,16.68,16.67,21.7,270.0,1
0.04195,0.03831,5.33,5.32,28.1,14.0,0
0.03287,0.02521,13.87,13.86,25.7,43.0,0
0.02804,0.028,0.74,0.6,28.6,11.0,0
0.03398,0.02081,7.28,7.27,29.4,7.8,0
0.03114,0.03114,24.28,24.28,21.4,310.0,1
0.04375,0.04375,7.58,7.57,21.3,330.0,1
0.02663,0.02663,9.24,9.23,25.5,47.0,0
0.0203,0.00094,8.5,8.49,29.4,7.8,1
0.02509,0.0216,2.75,2.71,26.5,30.0,0
0.03091,0.02755,19.98,19.97,23.8,100.0,0
0.0224,0.0221,15.72,15.71,24.2,86.0,0
0.04574,0.03856,7.86,7.85,27.9,16.0,0
0.00688,0.00685,8.32,8.28,27.4,20.0,1
0.04089,0.03034,9.75,9.74,22.6,180.0,0
0.04813,0.04813,16.41,16.4,22.2,220.0,0
0.04116,0.00287,9.11,9.1,27.3,21.0,1
0.0153,0.01365,13.78,13.76,24.5,75.0,0
0.00126,0.00081,7.75,7.47,30.4,4.9,1
0.03761,0.03114,12.79,12.79,26.3,33.0,0
0.0256,0.00266,14.01,14.01,22.4,200.0,1
0.03646,0.0363,8.33,8.32,24.8,65.0,0
0.02835,0.02835,14.51,14.5,22.5,190.0,0
0.03763,0.03756,3.42,3.39,25.8,41.0,0
0.01913,0.00073,3.08,3.04,28.9,9.9,1
0.02631,0.02145,2.12,2.07,29.6,7.1,0
0.03266,0.02915,3.79,3.77,26.5,30.0,0
0.03985,0.03947,9.46,9.46,25.2,54.0,0
0.01344,0.01334,4.07,4.02,28.1,14.0,0
0.04773,0.03418,9.43,9.43,24.3,81.0,0
0.03839,0.01209,7.66,7.65,24.4,79.0,0
0.01795,0.01789,21.1,21.1,19.8,650.0,1
0.01699,0.01698,10.02,10.0,21.6,280.0,1
0.03961,0.03064,9.83,9.82,24.7,69.0,0
0.03916,0.03579,4.26,4.24,28.1,14.0,0
0.0487,0.04733,19.32,19.32,20.4,480.0,1
0.04666,0.04436,15.9,15.89,27.6,18.0,0
0.02809,0.02559,9.79,9.78,23.6,110.0,0
0.04208,0.00896,11.66,11.65,21.8,260.0,1
0.03433,0.0291,9.2,9.19,23.4,120.0,0
0.0099,0.00989,6.9,6.86,23.3,130.0,1
0.04983,0.04983,11.88,11.88,19.2,850.0,1
0.03114,0.00166,7.51,7.49,24.6,71.0,1
0.02994,0.01222,10.14,10.13,23.1,140.0,0
0.04262,0.04231,19.69,19.69,23.4,120.0,0
0.04507,0.04507,21.98,21.98,21.4,310.0,1
0.01835,0.01257,4.93,4.9,26.1,36.0,0
0.03556,0.03305,13.23,13.22,22.3,210.0,0
0.03404,0.02681,7.7,7.69,28.3,13.0,0
0.02254,0.01214,9.55,9.54,23.2,130.0,0
0.01556,0.00392,11.8,11.79,27.1,22.0,1
0.03766,0.03766,6.93,6.92,20.2,540.0,1
0.03095,0.03076,11.05,11.04,26.5,29.0,0
0.04612,0.03872,23.12,23.12,21.7,270.0,1
0.00653,0.00601,9.91,9.86,27.7,17.0,1
0.03095,0.03094,9.9,9.89,20.8,420.0,1
0.03286,0.03285,13.51,13.51,21.3,330.0,1
0.03226,0.03226,8.5,8.49,20.5,460.0,1
0.03573,0.03138,10.49,10.48,27.2,22.0,0
0.04195,0.04195,3.87,3.85,27.7,17.0,0
0.01958,0.01304,9.57,9.56,28.1,14.0,0
0.00475,0.00475,9.75,9.69,22.4,200.0,1
0.0493,0.0422,10.62,10.62,25.2,54.0,0
0.02701,0.02699,9.01,9.0,21.4,310.0,1
0.03709,0.03709,15.72,15.72,20.6,440.0,1
0.0007,0.00069,11.32,10.98,28.2,14.0,1
0.0296,0.0296,11.68,11.68,20.2,530.0,1
0.02515,0.01473,8.83,8.82,26.1,36.0,0
0.04309,0.04306,14.46,14.45,25.4,49.0,0
0.0462,0.00023,18.65,18.65,24.8,66.0,1
0.0356,0.01185,13.21,13.2,26.2,34.0,0
0.04629,0.03655,4.11,4.09,27.4,20.0,0
0.03924,0.03742,3.73,3.71,25.1,56.0,0
0.04355,0.0415,5.32,5.31,26.7,27.0,0
0.02615,0.01223,5.79,5.77,25.9,39.0,0
0.04027,0.04025,14.03,14.02,22.0,240.0,1
0.02387,0.0222,8.51,8.49,22.1,220.0,0
0.0417,0.04166,15.47,15.46,19.8,650.0,1
0.03605,0.02413,10.96,10.95,26.9,24.0,0
0.00645,0.00585,8.6,8.55,27.8,17.0,1
0.00951,0.00293,13.31,13.29,26.9,25.0,1
0.0142,0.01399,24.73,24.72,25.5,47.0,0
0.02105,0.0137,3.57,3.53,25.3,52.0,0
0.03324,0.03196,5.69,5.67,25.7,44.0,0
0.0142,0.01274,7.08,7.05,26.5,30.0,0
0.04084,0.03537,10.53,10.52,27.5,19.0,0
0.04665,0.04665,6.03,6.02,25.7,43.0,0
0.01477,0.00627,2.84,2.78,27.1,23.0,1
0.03084,0.03078,0.68,0.54,25.0,59.0,0
0.01975,0.01943,10.55,10.54,23.9,99.0,0
0.04854,0.04854,28.42,28.42,21.7,270.0,1
0.04089,0.00609,10.62,10.61,28.1,14.0,1
0.01837,0.01797,2.0,1.93,27.5,19.0,0
0.04957,0.02485,7.89,7.88,23.4,120.0,0
0.04191,0.04191,6.58,6.57,20.0,580.0,1
0.04685,0.00434,6.65,6.64,26.2,34.0,1
0.01806,0.01461,6.08,6.06,28.3,13.0,0
0.0029,0.00289,18.9,18.86,26.5,30.0,1
0.02589,0.01472,9.96,9.95,26.1,36.0,0
0.03515,0.01651,11.88,11.87,25.2,54.0,0
0.02179,0.01333,5.39,5.37,27.1,23.0,0
0.03009,0.0243,8.43,8.42,25.8,40.0,0
0.04116,0.04116,6.71,6.7,23.3,130.0,0
0.04092,0.04092,12.14,12.13,24.0,94.0,0
0.03624,0.03624,9.3,9.3,19.4,790.0,1
0.03867,0.01344,15.21,15.2,23.9,99.0,0
0.02099,0.02099,20.33,20.33,21.1,360.0,1
0.01488,0.01488,12.66,12.64,19.1,910.0,1
0.0258,0.02556,12.18,12.17,24.0,92.0,0
0.02632,0.02221,12.57,12.56,24.4,78.0,0
0.03955,0.03955,14.15,14.15,20.4,490.0,1
0.04934,0.02413,6.98,6.98,27.4,20.0,0
0.03464,0.03409,8.38,8.37,24.1,90.0,0
0.03516,0.03516,9.39,9.38,22.5,190.0,0
0.0206,0.01981,2.04,1.97,27.6,18.0,0
0.02198,0.02191,8.72,8.7,24.0,94.0,0
0.02612,0.02395,1.8,1.74,26.8,26.0,0
0.0257,0.01346,11.51,11.5,24.3,82.0,0
0.01038,0.01037,1.64,1.48,27.0,23.0,0
0.03936,0.03932,4.09,4.08,26.6,28.0,0
0.02576,0.02507,3.31,3.27,29.4,7.8,0
0.0433,0.03948,5.24,5.23,23.6,110.0,0
0.03343,0.03159,10.88,10.87,21.3,320.0,1
0.04894,0.0414,6.89,6.88,25.7,43.0,0
0.02348,0.02199,2.92,2.88,26.9,25.0,0
0.01892,0.01892,17.33,17.32,19.3,820.0,1
0.02753,0.01768,12.12,12.11,24.2,84.0,0
0.02951,0.02951,15.18,15.18,21.5,300.0,1
0.0466,0.03195,15.77,15.77,24.6,73.0,0
0.01321,0.01319,13.66,13.64,26.2,34.0,0
0.0159,0.01423,8.47,8.45,24.9,62.0,0
0.03007,0.00078,9.46,9.45,27.9,16.0,1
0.03438,0.00161,8.49,8.49,27.6,18.0,1
0.04138,0.00866,9.8,9.79,25.6,44.0,1
0.00588,0.00586,18.05,18.03,22.0,240.0,1
0.01572,0.0137,11.22,11.21,26.0,38.0,0
0.03918,0.03319,9.51,9.5,24.1,90.0,0
0.04928,0.04927,4.18,4.16,24.9,62.0,0
0.04596,0.03793,4.26,4.24,27.5,19.0,0
0.01747,0.01624,13.01,13.0,26.0,38.0,0
0.01398,0.01397,8.78,8.76,24.7,68.0,0
0.02486,0.01619,5.56,5.55,26.6,28.0,0
0.04834,0.04828,7.24,7.23,22.3,210.0,0
0.02251,0.02251,26.4,26.4,22.3,210.0,0
0.0328,0.02822,4.06,4.04,28.9,9.9,0
0.04828,0.04827,19.32,19.32,20.9,390.0,1
0.03653,0.01435,12.38,12.38,26.1,36.0,0
0.03183,0.03183,10.16,10.15,23.4,120.0,0
0.02086,0.00366,14.17,14.16,24.8,65.0,1
0.04538,0.00485,12.08,12.07,27.8,16.0,1
0.04149,0.04149,7.13,7.12,24.4,78.0,0
0.005,0.00498,12.31,12.27,27.3,21.0,1
0.02385,0.01794,4.46,4.43,27.9,16.0,0
0.04442,0.04438,14.47,14.47,21.6,280.0,1
0.02998,0.0063,16.33,16.33,25.5,47.0,1
0.04122,0.03686,14.87,14.86,25.9,39.0,0
0.03307,0.03307,20.66,20.65,22.2,220.0,0
0.02282,0.01708,10.49,10.48,26.3,33.0,0
0.04002,0.03048,5.18,5.17,26.3,33.0,0
0.03049,0.02569,4.44,4.42,27.0,24.0,0
0.0426,0.01696,12.24,12.23,24.4,80.0,0
0.04873,0.04871,12.09,12.08,21.1,360.0,1
0.03075,0.02346,7.61,7.6,25.4,50.0,0
0.03571,0.0027,10.58,10.57,26.2,34.0,1
0.02816,0.02816,5.37,5.35,24.3,81.0,0
0.01678,0.0166,10.12,10.1,24.6,71.0,0
0.04229,0.04229,10.59,10.58,21.6,290.0,1
0.01637,0.0137,7.93,7.91,26.0,38.0,0
0.04207,0.04206,11.04,11.04,21.4,310.0,1
0.03975,0.03624,9.63,9.62,26.8,26.0,0
0.04046,0.04045,10.23,10.23,22.3,210.0,0
0.03606,0.03531,9.12,9.11,24.3,81.0,0
0.02745,0.02744,13.8,13.79,22.1,230.0,0
0.03231,0.03213,5.21,5.2,25.2,54.0,0
0.02319,0.02302,8.17,8.15,24.7,68.0,0
0.01699,0.01524,7.86,7.84,27.4,20.0,0
0.04225,0.0229,14.87,14.87,23.3,130.0,0
0.04265,0.04145,6.39,6.38,23.6,110.0,0
0.03803,0.03689,6.14,6.13,24.2,86.0,0
0.02265,0.00684,10.29,10.28,23.9,100.0,1
0.02901,0.02901,2.89,2.86,27.3,21.0,0
0.03091,0.0309,9.89,9.88,20.9,390.0,1
0.00868,0.00868,10.45,10.42,23.5,120.0,1
0.04082,0.02792,3.21,3.19,27.3,21.0,0
0.01972,0.01943,1.56,1.47,24.3,82.0,0
0.03292,0.03232,8.35,8.34,24.4,78.0,0
0.00612,0.00356,3.41,3.28,28.6,11.0,1
0.03471,0.03471,17.03,17.03,20.6,450.0,1
0.02411,0.02369,10.6,10.59,26.1,36.0,0
0.0328,0.0328,3.3,3.28,24.9,64.0,0
0.04706,0.04706,10.16,10.15,19.6,720.0,1
0.01075,0.01075,22.79,22.78,21.4,310.0,1
0.02669,0.02269,8.26,8.25,28.5,12.0,0
0.039,0.02155,4.47,4.46,26.3,33.0,0
0.03802,0.03326,4.48,4.46,27.5,19.0,0
0.02406,0.01744,10.8,10.79,27.5,19.0,0
0.04049,0.00144,8.06,8.05,25.6,45.0,1
0.0399,0.00038,10.2,10.19,28.0,15.0,1
0.04896,0.04894,18.0,18.0,21.6,280.0,1
0.01806,0.01794,5.61,5.58,20.6,450.0,1
0.04826,0.03388,6.9,6.89,24.3,82.0,0
0.03728,0.00425,12.48,12.48,23.6,120.0,1
0.0382,0.03819,9.9,9.89,24.7,68.0,0
0.02565,0.02498,4.41,4.39,27.4,20.0,0
0.00303,0.00303,21.19,21.15,21.0,380.0,1
0.01963,0.01963,19.67,19.66,19.1,920.0,1
0.02575,0.02398,9.24,9.23,23.7,110.0,0
0.04657,0.04657,12.53,12.53,21.2,340.0,1
0.03122,0.03108,15.95,15.94,22.9,160.0,0
0.03468,0.01172,9.5,9.49,25.7,43.0,0
0.04166,0.02766,4.7,4.69,25.1,57.0,0
0.02432,0.01166,4.62,4.6,24.9,62.0,0
0.02595,0.02582,8.1,8.09,24.5,75.0,0
0.01478,0.00392,9.02,9.0,27.7,17.0,1
0.03617,0.03616,7.21,7.2,22.7,170.0,0
0.00774,0.0077,12.64,12.61,24.5,75.0,1
0.04716,0.04653,4.45,4.44,26.1,36.0,0
0.04573,0.04554,9.86,9.86,23.2,140.0,0
0.04158,0.02648,8.17,8.17,25.4,51.0,0
0.03307,0.03245,7.38,7.37,25.2,54.0,0
0.01816,0.01618,8.28,8.26,25.3,52.0,0
0.04019,0.04019,18.93,18.93,20.2,540.0,1
0.02139,0.01886,2.57,2.53,29.2,8.7,0
0.00774,0.0056,6.07,6.01,24.6,70.0,1
0.01542,0.01516,24.27,24.27,23.9,99.0,0
0.04533,0.04474,3.39,3.38,24.9,61.0,0
0.03077,0.03077,11.33,11.32,23.7,110.0,0
0.01603,0.01007,10.02,10.01,26.6,28.0,0
0.00504,0.00499,6.44,6.36,26.7,27.0,1
0.02333,0.01175,9.84,9.83,24.6,71.0,0
0.00275,0.00072,6.88,6.74,26.3,32.0,1
0.04581,0.04581,9.76,9.75,19.0,920.0,1
0.00874,0.00865,8.48,8.44,25.7,43.0,1
0.03855,0.03822,9.95,9.94,24.4,77.0,0
0.02842,0.02692,7.38,7.36,25.2,55.0,0
0.03215,0.03182,7.99,7.98,26.3,33.0,0
0.03346,0.02752,10.31,10.3,25.3,51.0,0
0.04865,0.04768,14.09,14.08,24.2,86.0,0
0.04671,0.02634,13.45,13.44,26.5,30.0,0
0.03228,0.00268,18.14,18.13,27.9,16.0,1
0.01218,0.01177,15.48,15.47,25.4,49.0,0
0.0442,0.0442,21.75,21.74,20.1,570.0,1
0.04695,0.01088,9.59,9.59,26.7,27.0,0
0.02758,0.02758,4.79,4.77,22.6,180.0,0
0.02502,0.025,8.65,8.63,21.1,360.0,1
0.04069,0.04031,4.13,4.12,27.7,17.0,0
0.03485,0.03474,6.15,6.13,25.2,54.0,0
0.02457,0.02429,8.06,8.05,24.2,86.0,0
0.02458,0.02454,14.49,14.49,23.4,130.0,0
0.03366,0.03264,7.27,7.26,26.1,36.0,0
0.04822,0.04801,12.57,12.57,22.1,230.0,0
0.01462,0.00943,7.28,7.25,27.4,20.0,1
0.04577,0.04573,16.3,16.3,21.5,300.0,1
0.01639,0.01615,12.28,12.27,25.7,43.0,0
0.00735,0.00734,8.74,8.7,27.5,19.0,1
0.04482,0.01129,8.02,8.02,26.2,34.0,0
0.02421,0.00512,12.5,12.49,28.6,11.0,1
0.04095,0.04089,22.38,22.37,24.1,92.0,0
0.04486,0.04037,5.87,5.86,26.8,26.0,0
0.0253,0.02457,4.55,4.52,27.0,24.0,0
0.03415,0.01317,15.19,15.18,22.8,160.0,0
0.02697,0.02697,14.72,14.72,22.0,240.0,1
0.04457,0.0024,7.95,7.94,27.4,20.0,1
0.03702,0.03702,8.02,8.01,22.3,210.0,0
0.01461,0.00345,13.57,13.55,26.4,32.0,1
0.01836,0.00316,3.91,3.87,28.3,13.0,1
0.00712,0.00335,13.5,13.47,28.3,13.0,1
0.02147,0.01563,7.58,7.56,26.0,37.0,0
0.01583,0.0131,13.75,13.74,25.6,45.0,0
0.04275,0.01152,7.09,7.08,27.9,16.0,0
0.03815,0.03783,16.29,16.28,23.6,110.0,0
0.02549,0.02154,2.29,2.25,26.6,28.0,0
0.04699,0.04699,11.05,11.05,23.9,100.0,0
0.03291,0.03291,23.4,23.39,19.1,880.0,1
0.04621,0.04621,11.03,11.03,20.5,480.0,1
0.03316,0.03262,2.8,2.77,28.0,15.0,0
0.01564,0.01564,19.72,19.71,20.3,510.0,1
0.01156,0.00148,6.25,6.21,28.3,13.0,1
0.01977,0.01049,7.34,7.32,28.4,12.0,0
0.03951,0.03516,9.02,9.01,26.7,27.0,0
0.03553,0.03479,10.86,10.85,26.6,28.0,0
0.02955,0.02955,9.1,9.09,20.4,490.0,1
0.03314,0.03307,15.19,15.18,21.5,300.0,1
0.0366,0.03632,9.09,9.08,24.6,71.0,0
0.02018,0.01935,4.5,4.47,25.3,52.0,0
0.03875,0.0056,13.97,13.96,23.6,120.0,1
0.0348,0.00099,14.6,14.59,29.1,9.0,1
0.0184,0.01783,13.3,13.29,28.4,12.0,0
0.02462,0.01491,13.1,13.09,25.0,58.0,0
0.02987,0.0288,3.99,3.97,27.4,19.0,0
0.04522,0.01766,14.6,14.59,24.1,89.0,0
0.0377,0.0377,19.31,19.31,23.8,100.0,0
0.03673,0.00643,7.06,7.05,27.6,18.0,1
0.03928,0.02632,6.38,6.37,28.1,14.0,0
0.02399,0.01312,7.32,7.31,24.9,62.0,0
0.00843,0.00807,5.38,5.32,27.3,21.0,1
0.03455,0.03455,6.56,6.55,24.6,71.0,0
0.00815,0.00637,6.99,6.94,28.4,12.0,1
0.04915,0.01974,14.85,14.84,25.0,59.0,0
0.01441,0.01362,7.47,7.45,24.8,65.0,0
0.02429,0.02428,11.16,11.15,20.5,470.0,1
0.03187,0.00703,8.05,8.04,27.3,21.0,1
0.02364,0.01955,5.7,5.68,25.0,59.0,0
0.03635,0.03633,11.38,11.37,20.2,540.0,1
0.01384,0.01375,5.84,5.8,25.6,45.0,0
0.04735,0.04388,2.25,2.23,28.4,13.0,0
0.04521,0.04521,8.96,8.95,22.5,190.0,0
